route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
30,250728-MULTI-Weekday-01,24609917-250728-MULTI-Weekday-01,"30 AIRPORT ROAD NORTH",0,1162445,300081,1,1
30,250728-MULTI-Weekday-01,24609918-250728-MULTI-Weekday-01,"30 AIRPORT ROAD NORTH",0,1162470,300081,1,1
30,250728-MULTI-Weekday-01,24609919-250728-MULTI-Weekday-01,"30 AIRPORT ROAD NORTH",0,1162432,300081,1,1
30,250728-MULTI-Weekday-01,24609920-250728-MULTI-Weekday-01,"30 AIRPORT ROAD NORTH",0,1162442,300081,1,1
30,250728-MULTI-Weekday-01,24609921-250728-MULTI-Weekday-01,"30 AIRPORT ROAD NORTH",0,1162443,300081,1,1
30,250728-MULTI-Weekday-01,24609922-250728-MULTI-Weekday-01,"30 AIRPORT ROAD SOUTH",1,1162437,300083,1,1
51,250728-MULTI-Weekday-01,24609923-250728-MULTI-Weekday-01,"51 HEREFORD WEST",1,1162176,510037,1,1
51,250728-MULTI-Weekday-01,24609924-250728-MULTI-Weekday-01,"51 HEREFORD WEST",1,1162176,510037,1,1
51,250728-MULTI-Weekday-01,24609925-250728-MULTI-Weekday-01,"51 HEREFORD WEST",1,1162176,510037,1,1
51,250728-MULTI-Weekday-01,24609926-250728-MULTI-Weekday-01,"51 HEREFORD WEST",1,1162176,510037,1,1
30,250728-MULTI-Weekday-01,24609927-250728-MULTI-Weekday-01,"30 AIRPORT ROAD NORTH",0,1162444,300081,1,1
30,250728-MULTI-Weekday-01,24609928-250728-MULTI-Weekday-01,"30 AIRPORT ROAD NORTH",0,1162437,300081,1,1
51,250728-MULTI-Weekday-01,24609929-250728-MULTI-Weekday-01,"51 HEREFORD WEST",1,1162176,510037,1,1
51,250728-MULTI-Weekday-01,24609930-250728-MULTI-Weekday-01,"51 HEREFORD WEST",1,1162176,510037,1,1
51,250728-MULTI-Weekday-01,24609931-250728-MULTI-Weekday-01,"51 HEREFORD WEST",1,1162176,510037,1,1
51,250728-MULTI-Weekday-01,24609932-250728-MULTI-Weekday-01,"51 HEREFORD WEST",1,1162176,510037,1,1
51,250728-MULTI-Weekday-01,24609933-250728-MULTI-Weekday-01,"51 HEREFORD EAST",0,1162176,510036,1,1
51,250728-MULTI-Weekday-01,24609934-250728-MULTI-Weekday-01,"51 HEREFORD EAST",0,1162176,510036,1,1
51,250728-MULTI-Weekday-01,24609935-250728-MULTI-Weekday-01,"51 HEREFORD EAST",0,1162176,510036,1,1
51,250728-MULTI-Weekday-01,24609936-250728-MULTI-Weekday-01,"51 HEREFORD EAST",0,1162176,510036,1,1
51,250728-MULTI-Weekday-01,24609937-250728-MULTI-Weekday-01,"51 HEREFORD EAST",0,1162176,510036,1,1
51,250728-MULTI-Weekday-01,24609938-250728-MULTI-Weekday-01,"51 HEREFORD EAST",0,1162176,510036,1,1
51,250728-MULTI-Weekday-01,24609939-250728-MULTI-Weekday-01,"51 HEREFORD EAST",0,1162177,510036,1,1
51,250728-MULTI-Weekday-01,24609940-250728-MULTI-Weekday-01,"51 HEREFORD EAST",0,1162176,510036,1,1
51,250728-MULTI-Weekday-01,24609941-250728-MULTI-Weekday-01,"51 HEREFORD EAST",0,1162176,510036,1,1
14,250728-MULTI-Weekday-01,24609942-250728-MULTI-Weekday-01,"14 TORBRAM SOUTH",1,1162245,140068,1,1
14,250728-MULTI-Weekday-01,24609943-250728-MULTI-Weekday-01,"14 TORBRAM NORTH",0,1162245,140077,1,1
14,250728-MULTI-Weekday-01,24609944-250728-MULTI-Weekday-01,"14A TORBRAM NORTH",0,1162245,140081,1,1
14,250728-MULTI-Weekday-01,24609945-250728-MULTI-Weekday-01,"14 TORBRAM SOUTH",1,1162246,140068,1,1
14,250728-MULTI-Weekday-01,24609946-250728-MULTI-Weekday-01,"14 TORBRAM NORTH",0,1162247,140077,1,1
14,250728-MULTI-Weekday-01,24609947-250728-MULTI-Weekday-01,"14 TORBRAM SOUTH",1,1162247,140068,1,1
14,250728-MULTI-Weekday-01,24609948-250728-MULTI-Weekday-01,"14 TORBRAM NORTH",0,1162249,140077,1,1
14,250728-MULTI-Weekday-01,24609949-250728-MULTI-Weekday-01,"14 TORBRAM NORTH",0,1162250,140077,1,1
14,250728-MULTI-Weekday-01,24609950-250728-MULTI-Weekday-01,"14A TORBRAM NORTH",0,1162246,140072,1,1
14,250728-MULTI-Weekday-01,24609951-250728-MULTI-Weekday-01,"14A TORBRAM NORTH",0,1162248,140071,1,1
17,250728-MULTI-Weekday-01,24609952-250728-MULTI-Weekday-01,"17 HOWDEN NORTH",0,1162266,170022,1,1
17,250728-MULTI-Weekday-01,24609953-250728-MULTI-Weekday-01,"17 HOWDEN NORTH",0,1162266,170022,1,1
17,250728-MULTI-Weekday-01,24609954-250728-MULTI-Weekday-01,"17 HOWDEN NORTH",0,1162266,170022,1,1
17,250728-MULTI-Weekday-01,24609955-250728-MULTI-Weekday-01,"17 HOWDEN NORTH",0,1162266,170022,1,1
17,250728-MULTI-Weekday-01,24609956-250728-MULTI-Weekday-01,"17 HOWDEN NORTH",0,1162266,170022,1,1
17,250728-MULTI-Weekday-01,24609957-250728-MULTI-Weekday-01,"17 HOWDEN NORTH",0,1162266,170022,1,1
17,250728-MULTI-Weekday-01,24609958-250728-MULTI-Weekday-01,"17 HOWDEN NORTH",0,1162266,170022,1,1
17,250728-MULTI-Weekday-01,24609959-250728-MULTI-Weekday-01,"17 HOWDEN NORTH",0,1162266,170022,1,1
17,250728-MULTI-Weekday-01,24609960-250728-MULTI-Weekday-01,"17 HOWDEN NORTH",0,1162266,170022,1,1
17,250728-MULTI-Weekday-01,24609961-250728-MULTI-Weekday-01,"17 HOWDEN NORTH",0,1162266,170022,1,1
17,250728-MULTI-Weekday-01,24609962-250728-MULTI-Weekday-01,"17 HOWDEN NORTH",0,1162266,170022,1,1
17,250728-MULTI-Weekday-01,24609963-250728-MULTI-Weekday-01,"17 HOWDEN NORTH",0,1162266,170022,1,1
17,250728-MULTI-Weekday-01,24609964-250728-MULTI-Weekday-01,"17 HOWDEN NORTH",0,1162266,170022,1,1
17,250728-MULTI-Weekday-01,24609965-250728-MULTI-Weekday-01,"17 HOWDEN NORTH",0,1162266,170022,1,1
17,250728-MULTI-Weekday-01,24609966-250728-MULTI-Weekday-01,"17 HOWDEN NORTH",0,1162266,170022,1,1
17,250728-MULTI-Weekday-01,24609967-250728-MULTI-Weekday-01,"17 HOWDEN NORTH",0,1162266,170022,1,1
17,250728-MULTI-Weekday-01,24609968-250728-MULTI-Weekday-01,"17 HOWDEN NORTH",0,1162266,170022,1,1
17,250728-MULTI-Weekday-01,24609969-250728-MULTI-Weekday-01,"17 HOWDEN SOUTH",1,1162266,170023,1,1
17,250728-MULTI-Weekday-01,24609970-250728-MULTI-Weekday-01,"17 HOWDEN SOUTH",1,1162266,170023,1,1
17,250728-MULTI-Weekday-01,24609971-250728-MULTI-Weekday-01,"17 HOWDEN NORTH",0,1162266,170022,1,1
17,250728-MULTI-Weekday-01,24609972-250728-MULTI-Weekday-01,"17 HOWDEN NORTH",0,1162266,170022,1,1
17,250728-MULTI-Weekday-01,24609973-250728-MULTI-Weekday-01,"17 HOWDEN SOUTH",1,1162266,170023,1,1
17,250728-MULTI-Weekday-01,24609974-250728-MULTI-Weekday-01,"17 HOWDEN SOUTH",1,1162266,170023,1,1
17,250728-MULTI-Weekday-01,24609975-250728-MULTI-Weekday-01,"17 HOWDEN SOUTH",1,1162266,170023,1,1
17,250728-MULTI-Weekday-01,24609976-250728-MULTI-Weekday-01,"17 HOWDEN SOUTH",1,1162266,170023,1,1
